a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpi_call-dkms 1.2.2-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alci-calamares 3.3.12.241107-01
alci-calamares-config 24.11-05
alci-dwm 21.01-21
alci-grub-theme-git 23.03-37
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amd-ucode 20241111.b5885ec5-1
ananicy-cpp 1.1.1-6
ananicy-rules-git 2.2.1.r331.g1568890-1
aom 3.11.0-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
arc-gtk-theme 20221218-2
arc-icon-theme 20161122-4
arch-install-scripts 29-1
archinstall 3.0.1-1
archlinux-appstream-data 20240914-1
archlinux-keyring 20241203-1
argon2 20190702-6
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.2-2
auto-cpufreq 2.4.0-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.4-1
b43-firmware 6.30.163.46-1.1
b43-fwcutter 019-5
base 3-2
base-devel 1-2
bash 5.2.037-1
bash-completion 2.15.0-1
bc 1.07.1-5
bcachefs-tools 3:1.13.0-1
bind 9.20.3-2
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
bleachbit 4.6.2-1
blueman 2.4.3-1
bluez 5.79-1
bluez-libs 5.79-1
bluez-obex 5.79-1
bluez-utils 5.79-1
bogofilter-db 1.2.5-12
bolt 0.9.8-1
boost-libs 1.86.0-3
brasero 3.12.3+r36+g5cdefa8c-1
breeze-icons 6.8.0-1
brltty 6.7-1
broadcom-bt-firmware-git 12.0.1.1105_p4.r1.g3b7cff9-2
broadcom-wl-dkms 6.30.223.271-38
brotli 1.1.0-2
btrfs-progs 6.12-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.3-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairo-perl 1.109-5
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
caribou 0.4.21+75+g8ad9883-6
cblas 3.12.0-5
ccid 1.5.5-1
cdparanoia 10.2-9
cdrdao 1.2.5-7
cdrtools 3.02a09-6
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240724-1
cheese 44.1-3
chromaprint 1.5.1-9
cifs-utils 7.1-1
cinnamon 6.4.2-1
cinnamon-control-center 6.4.1-1
cinnamon-desktop 6.4.1-1
cinnamon-menus 6.4.0-1
cinnamon-screensaver 6.4.0-1
cinnamon-session 6.4.0-1
cinnamon-settings-daemon 6.4.1-1
cinnamon-translations 6.4.1-1
cjs 6.4.0-1
ckbcomp 1.230-1
clamav 1.4.1-1
clamtk 6.18-1
clang 18.1.8-4
clonezilla 5.6.13-1
cloud-init 24.3.1-2
clucene 2.3.3.4-15
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmark 0.31.1-1
cogl 1.22.8-3
colord 1.4.7-2
colord-sane 1.4.7-2
compiler-rt 18.1.8-1
composefs 1.0.4-1
confuse 3.3-4
coreutils 9.5-2
cracklib 2.10.2-1
cronie 1.7.2-1
cryptsetup 2.7.5-1
cups 2:2.4.11-1
cups-browsed 2.1.0-1
cups-filters 2.0.1-1
cups-pdf 3.0.1-8
curl 8.11.0-3
darkhttpd 1.16-2
dav1d 1.5.0-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
ddrescue 1.28-1
debugedit 5.1-1
default-cursors 3-1
deja-dup 47.0-1
desktop-file-utils 0.28-1
device-mapper 2.03.28-1
dex 0.9.0-2
dhclient 4.4.3.P1-3
dhcpcd 10.1.0-1
diffutils 3.10-1
ding-libs 0.6.2-2
dkms 3.1.3-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-1
dnssec-anchors 20190629-4
dosfstools 4.2-5
dotconf 1.4.1-1
double-conversion 3.3.0-2
doxygen 1.12.0-3
drbl 2.30.5-3
duktape 2.7.0-7
duplicity 3.0.3-1
dvd+rw-tools 7.1-11
e2fsprogs 1.47.1-4
ecryptfs-utils 111-9
edk2-shell 202411-1
efibootmgr 18-3
efivar 39-1
elementary-icon-theme 8.0.0-1
ell 0.71-1
enchant 2.8.2-1
engrampa 1.28.2-2
espeak-ng 1.51.1-4
espeakup 0.90-3
ethtool 1:6.9-1
evolution 3.54.2-1
evolution-bogofilter 3.54.2-1
evolution-data-server 3.54.2-1
evolution-data-server-docs 3.54.2-1
evolution-ews 3.54.2-1
evolution-on 3.24.2-3
evolution-spamassassin 3.54.2-1
exempi 2.6.5-1
exfatprogs 1.2.6-1
expat 2.6.4-1
f2fs-tools 1.16.0-3
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.36-1
fatresize 1.1.0-2
fbreader 0.99.4-14
ffmpeg 2:7.1-3
fftw 3.3.10-7
file 5.46-2
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 133.0-1
firefox-i18n-es-es 133.0-1
firewalld 2.3.0-1
flac 1.4.3-2
flashrom 1.5.0-1
flatpak 1:1.15.12-1
flex 2.6.4-5
fluidsynth 2.4.1-1
fmt 11.0.2-1
font-manager 0.9.0-2
fontconfig 2:2.15.0-2
foot-terminfo 1.19.0-2
freeglut 3.6.0-1
freerdp 2:3.9.0-4
freetype2 2.13.3-1
frei0r-plugins 2.3.3-2
fribidi 1.0.16-1
fsarchiver 0.8.7-2
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.3-1
fwupd-efi 1.7-1
galculator 2.1.4-10
garuda-icons r41.38b5d94-1
garuda-settings-manager 1.0.5-3
garuda-settings-manager-notifier 1.0.5-3
garuda-video-linux-config 2:1.1.6-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.5-2
ghostscript 10.04.0-1
giflib 5.2.2-1
git 2.47.1-1
glew 2.2.0-7
glib-networking 1:2.80.0-3
glib-perl 1.329.4-2
glib2 2.82.2-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.0.0-2
glu 9.0.3-2
glycin 1.1.2-1
gmime3 3.2.15-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-backgrounds 47.0-1
gnome-desktop 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-firmware 47.0-1
gnome-keyring 1:46.2-1
gnome-logs 45.0-1
gnome-network-displays 0.94.0-1
gnome-online-accounts 3.52.2-1
gnome-online-accounts-gtk 3.50.5-1
gnome-screenshot 41.0+r39+ga362197-2
gnome-system-monitor 47.0-3
gnome-terminal 3.54.2-1
gnome-video-effects 1:0.6.0-2
gnupg 2.4.7-1
gnutls 3.8.8-1
gobject-introspection 1.82.0-1
gobject-introspection-runtime 1.82.0-1
gpart 0.3-5
gparted 1.6.0-2
gperftools 2.16-1
gpgme 1.24.1-1
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
grml-zsh-config 0.19.8-1
groff 1.23.0-7
grub 2:2.12-3
grub-btrfs 4.13-2
grub-customizer 5.2.5-1
grub2-theme-archlinux 1.0-5
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-1
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad 1.24.10-1
gst-plugins-bad-libs 1.24.10-1
gst-plugins-base 1.24.10-1
gst-plugins-base-libs 1.24.10-1
gst-plugins-good 1.24.10-1
gst-plugins-ugly 1.24.10-1
gst-python 1.24.10-1
gst-rtsp-server 1.24.10-1
gstreamer 1.24.10-1
gtest 1.15.2-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-6
gtk-update-icon-cache 1:4.16.7-1
gtk2 2.24.33-5
gtk3 1:3.24.43-4
gtk4 1:4.16.7-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
guile 3.0.10-1
gupnp 1:1.6.7-1
gupnp-igd 1.6.0-1
gvfs 1.56.1-1
gvfs-goa 1.56.1-1
gvfs-google 1.56.1-1
gvfs-gphoto2 1.56.1-1
gvfs-mtp 1.56.1-1
gvfs-nfs 1.56.1-1
gvfs-onedrive 1.56.1-1
gvfs-smb 1.56.1-1
gvfs-wsdd 1.56.1-1
gzip 1.13-4
harfbuzz 10.1.0-1
harfbuzz-icu 10.1.0-1
hdparm 9.65-2
hfsprogs 540.1.linux3-4.3
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hunspell 1.7.2-2
hunspell-es_any 1:2.8-2
hunspell-es_es 1:2.8-2
hwdata 0.390-1
hwinfo 23.3-1
hyperv 6.12-1
hyphen 2.8.8-6
hyphen-es 1:2.8-2
iana-etc 20241206-1
icu 75.1-1
ifuse 1.1.4-5
ijs 0.35-6
imagemagick 7.1.1.41-1
imath 3.1.12-1
imlib2 1.12.3-2
intel-gmmlib 22.5.4-1
intel-media-driver 24.4.3-1
intel-ucode 20241112-1
iproute2 6.12.0-1
iptables 1:1.8.10-2
iputils 20240905-1
irqbalance 1.9.4-2
irssi 1.4.5-4
iso-codes 4.17.0-1
iw 6.9-1
iwd 3.2-1
jansson 2.14-4
